"Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type"
"201301BS70391,1,1,1,1,6,3,0,0,0,0,0,9,1"
"201301BS70392,1,1,1,1,-1,3,0,0,0,0,0,1,1"
"201301BS70394,1,1,2,2,10,3,0,0,0,3,0,11,1"
"201301BS70395,1,1,1,1,-1,3,0,0,0,0,0,9,1"
"201301BS70395,1,2,2,1,6,3,0,0,1,0,0,9,1"
"201301BS70395,1,3,2,2,6,3,0,0,2,0,0,9,1"
"201301BS70397,2,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70398,1,1,2,2,2,3,0,0,0,3,0,11,1"
"201301BS70399,1,1,3,1,3,3,5,3,0,0,2,0,1"
"201301BS70401,2,1,1,1,8,2,0,0,0,0,0,5,1"
"201301BS70402,2,1,1,1,7,3,0,0,0,0,0,1,1"
"201301BS70403,1,1,1,1,5,3,0,0,0,0,0,1,1"
"201301BS70404,1,1,1,1,6,3,0,0,0,0,0,1,1"
"201301BS70405,1,1,1,1,5,3,0,0,0,0,0,9,1"
"201301BS70405,1,2,2,1,5,3,0,0,1,0,0,9,1"
