AADFYear,CP,Road,RCat,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
2014,17186,A512,PA,52.75982305,-1.290156804,63,68,9754,47,2199,480
2014,17187,A515,PA,52.74689085,-1.823005435,35,50,7572,9,1305,391
2014,17188,A514,PA,52.82130633,-1.4598091640000002,8,45,3882,9,969,79
2014,17189,A515,PA,53.22697906,-1.8744354669999999,4,63,5103,53,1218,513
2014,17191,A515,PA,52.77740378,-1.791276506,7,40,3732,26,1094,410
2014,17193,A515,PA,53.01550246,-1.7319537059999999,25,63,4029,106,935,139
2014,17194,A518,PA,52.77452511,-2.315012096,13,62,4467,55,770,211
2014,17195,A519,PA,52.8266533,-2.2983814330000003,14,27,3660,19,884,303
2014,17196,A5202,PA,51.54355576,-0.13942199,1404,282,5607,206,664,264
2014,17197,A520,PA,53.02886547,-2.0644909080000002,7,43,7392,75,1349,641
2014,17199,A521,PA,52.98334393,-2.004725042,28,35,8272,42,1574,252
2014,17200,A522,PA,52.95737377,-1.989538609,28,31,5340,83,1178,431
2014,17202,A5012,PA,53.13959467,-1.75181184,0,27,2768,14,680,352
2014,17205,A528,PA,52.81987211,-2.7947257710000004,7,22,2202,19,531,161
2014,17206,A530,PA,53.26205936,-2.4733874190000003,13,22,5683,18,1064,124
2014,17207,A530,PA,53.06905365,-2.519323608,126,60,6453,192,820,67
2014,17208,A533,PA,53.32563095,-2.705604225,0,102,22347,95,2551,471
2014,17209,A533,PA,53.23182964,-2.501966861,34,130,17667,108,2532,899
2014,17211,A534,PA,53.15377595,-2.330434038,20,33,10638,65,2036,890
2014,17213,A537,PA,53.26455309,-2.241334606,16,50,13811,66,1874,829
2014,17214,A538,PA,53.29541204,-2.173995117,17,45,9728,58,1284,159
2014,17215,A540,PA,53.25900469,-2.975838568,65,76,11309,54,1338,467
2014,17217,A550,TA,53.27162998,-2.9708777939999997,15,131,14550,78,2371,864
2014,17218,A551,PA,53.4218586,-3.063232469,114,116,10551,255,1383,92
2014,17220,A552,PA,53.39170601,-3.016165035,16,57,3662,381,797,31
2014,17221,A553,PA,53.40036449,-3.05427366,69,76,9088,210,1505,173
2014,17224,A556,TA,53.31620505,-2.416346673,3,173,32712,99,5847,2984
2014,17225,A556,PA,53.23833221,-2.555832674,9,126,14122,49,1647,605
2014,17226,A557,PA,53.31222096,-2.706883907,25,262,20681,55,3784,2632
2014,17227,A560,PA,53.39180304,-2.332276057,239,119,20748,313,2216,299
2014,17230,A561,PA,53.37877941,-2.948509744,90,108,17367,695,1979,230
