Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201401BS70892,1,11,0,5,0,1,0,0,0,0,0,1,1,1,49,8,8268,2,11,1,1
201401BS70893,1,9,0,4,0,8,0,0,0,0,2,1,6,1,52,8,-1,-1,-1,6,1
201401BS70893,2,3,0,18,0,8,0,0,0,0,1,1,6,1,26,6,-1,-1,-1,4,1
201401BS70895,1,9,0,18,0,8,0,0,0,0,1,1,6,1,57,9,1798,8,-1,1,1
201401BS70896,1,3,0,18,0,0,0,0,0,0,1,1,1,1,26,6,108,1,-1,2,1
201401BS70896,2,9,0,6,0,0,0,0,0,0,3,1,6,1,-1,-1,1598,2,2,-1,-1
201401BS70902,1,9,0,17,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS70907,1,9,0,6,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1,-1
201401BS70912,1,1,0,18,0,8,0,0,0,0,1,1,6,1,14,3,-1,-1,-1,8,1
201401BS70912,2,19,0,7,0,8,0,0,0,0,4,1,1,1,-1,-1,1560,2,3,-1,-1
201401BS70918,1,1,0,18,0,0,0,0,0,0,3,1,6,1,49,8,-1,-1,-1,4,1
201401BS70918,2,5,0,13,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1
201401BS79025,1,1,0,13,0,8,0,0,0,0,4,1,6,1,32,6,-1,-1,-1,-1,1
201401BS79025,2,8,0,12,0,8,0,0,0,0,3,1,6,1,-1,-1,2143,2,2,-1,-1
201401CP00001,1,8,0,18,0,1,0,0,0,0,1,1,6,1,55,8,1753,2,4,9,1
