Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201301BS70135,1,11,0,5,0,0,0,0,0,0,0,1,1,1,8,7300,2,9,2,1
201301BS70136,1,9,0,9,0,8,0,0,0,0,0,1,6,1,-1,1388,1,8,-1,-1
201301BS70136,2,3,0,4,0,8,1,0,0,0,3,1,6,1,6,125,1,5,8,1
201301BS70137,1,9,0,17,0,8,0,0,0,0,1,1,6,1,7,1388,1,16,3,1
201301BS70137,2,3,0,16,0,8,0,0,0,0,1,1,6,2,6,124,1,2,3,1
201301BS70138,1,9,0,18,0,8,0,4,0,0,1,1,6,1,6,4244,1,6,4,1
201301BS70138,2,9,0,2,0,8,0,4,0,0,1,1,6,1,-1,3824,1,5,4,1
201301BS70138,3,9,0,2,0,2,0,4,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70138,4,9,0,2,0,2,0,4,0,0,1,1,6,1,-1,1995,1,8,-1,-1
201301BS70138,5,9,0,2,0,2,0,4,0,0,1,1,6,3,-1,2706,1,1,-1,-1
201301BS70138,6,9,0,2,0,8,0,0,0,0,1,1,6,3,-1,1968,2,7,-1,-1
201301BS70139,1,9,0,18,0,0,0,0,0,0,2,1,6,1,7,2231,2,1,6,1
201301BS70139,2,19,0,18,0,0,0,0,0,0,2,1,1,3,-1,-1,-1,-1,-1,-1
201301BS70139,3,9,0,18,0,0,0,4,0,0,1,1,6,2,-1,1198,1,6,9,1
201301BS70140,1,8,0,1,0,0,0,0,0,0,3,1,1,1,-1,1497,8,5,-1,-1
201301BS70140,2,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70142,1,9,0,7,0,8,0,0,0,0,2,1,6,2,10,6750,1,21,6,1
201301BS70142,2,9,0,17,0,8,0,0,0,0,1,1,6,1,8,2993,2,1,8,1
201301BS70142,3,9,0,17,0,8,0,0,0,0,2,1,6,1,8,2993,2,1,9,1
201301BS70143,1,11,0,4,0,0,0,0,0,0,1,1,6,1,7,6700,2,4,3,1
201301BS70144,1,9,0,9,0,8,0,0,0,0,4,1,6,2,8,1598,1,12,8,1
201301BS70144,2,1,0,18,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,6,1
201301BS70146,1,1,0,18,0,8,0,0,0,0,1,1,2,1,6,-1,-1,-1,-1,-1
201301BS70146,2,9,0,7,0,8,0,0,0,0,4,1,6,1,-1,1997,2,7,-1,-1
201301BS70147,1,1,0,18,0,8,0,0,0,0,1,1,6,1,5,-1,-1,-1,2,1
201301BS70147,2,19,0,7,0,8,0,0,0,0,4,1,1,1,8,1995,2,1,1,1
201301BS70148,1,9,0,9,0,8,0,0,0,0,1,1,1,1,7,2987,2,3,6,1
201301BS70148,2,3,0,18,0,8,0,0,0,0,1,1,6,1,-1,124,1,16,-1,-1
201301BS70149,1,9,0,11,0,0,0,0,0,0,4,1,6,1,6,2720,2,8,4,1
201301BS70149,2,9,0,18,0,0,0,0,0,0,3,1,6,1,7,1794,1,6,1,1
201301BS70150,1,9,0,18,0,8,0,0,0,0,4,1,6,2,6,1240,1,8,4,1
201301BS70150,2,11,0,18,0,8,0,0,0,0,3,1,6,1,8,6700,2,6,4,1
201301BS70151,1,9,0,12,0,1,0,0,0,0,3,1,6,2,8,1998,1,12,3,1
201301BS70151,2,1,0,14,0,1,0,0,0,0,1,1,6,1,5,-1,-1,-1,-1,-1
201301BS70152,1,1,0,18,0,1,0,0,0,0,1,1,6,1,4,-1,-1,-1,6,1
201301BS70152,2,19,0,11,0,1,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70153,1,9,0,18,0,8,0,0,0,0,4,1,6,1,6,1598,1,5,-1,-1
201301BS70155,1,8,0,14,0,0,0,0,0,0,4,1,1,2,-1,-1,-1,-1,1,1
201301BS70156,1,9,0,3,0,1,0,0,0,0,1,1,6,1,8,-1,-1,-1,4,1
201301BS70156,2,11,0,1,0,8,0,0,0,0,2,2,1,1,-1,-1,-1,-1,-1,-1
201301BS70158,1,3,0,18,0,2,0,0,0,0,1,1,6,2,7,278,1,1,4,1
201301BS70159,1,9,0,18,0,8,0,0,0,0,1,1,6,1,4,3800,1,2,8,1
201301BS70159,2,9,0,18,0,8,0,0,0,0,4,1,6,2,7,-1,3,4,6,1
201301BS70160,1,11,0,18,0,8,0,0,0,0,1,1,1,1,6,4500,2,6,1,1
201301BS70160,2,9,0,18,0,8,0,0,0,0,3,1,6,2,4,599,1,11,3,1
201301BS70161,1,8,0,7,0,8,0,0,0,0,1,1,1,1,7,1910,2,7,3,1
201301BS70161,2,90,0,18,0,8,0,0,0,0,4,1,6,2,10,-1,-1,-1,1,1
201301BS70163,1,3,0,18,0,1,0,0,0,0,2,1,2,1,7,124,1,13,5,1
201301BS70163,2,19,0,11,0,1,0,0,0,0,1,1,1,3,-1,1998,2,10,-1,-1
201301BS70164,1,3,0,18,0,0,0,0,0,0,1,1,6,1,6,124,1,4,8,1
201301BS70164,2,19,0,6,0,0,0,0,0,0,3,1,1,1,7,2500,2,6,2,1
201301BS70166,1,8,0,7,0,8,0,0,0,0,4,1,1,1,10,1997,2,1,-1,-1
201301BS70166,2,1,0,18,0,8,0,0,0,0,1,1,6,2,6,-1,-1,-1,4,1
201301BS70167,1,11,0,4,0,2,0,0,0,0,0,1,1,1,7,4461,2,-1,-1,-1
201301BS70168,1,8,0,18,0,8,0,0,0,0,4,1,1,1,-1,2499,2,6,-1,-1
201301BS70171,1,9,0,18,0,1,0,0,0,0,1,1,6,1,5,1999,1,5,3,1
201301BS70171,2,19,0,4,0,8,0,0,0,0,2,1,1,1,7,2402,2,3,-1,-1
201301BS70172,1,3,0,18,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,2,1
201301BS70173,1,9,0,6,0,0,0,0,0,0,3,1,6,1,6,1461,2,2,4,1
201301BS70173,2,5,0,18,0,0,0,0,0,0,1,1,6,1,7,599,1,12,3,1
201301BS70174,1,1,0,18,0,8,0,0,0,0,3,1,6,1,5,-1,-1,-1,6,1
201301BS70174,2,9,0,7,0,8,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70175,1,9,0,9,0,8,0,0,0,0,1,1,6,2,6,1598,1,16,6,3
201301BS70175,2,9,0,18,0,8,0,0,0,0,1,1,6,1,8,1855,1,13,8,1
201301BS70176,1,5,0,18,0,1,0,0,0,0,4,1,6,1,7,-1,-1,-1,2,1
201301BS70176,2,9,0,6,0,8,0,0,0,0,3,1,6,1,7,1275,1,17,-1,-1
201301BS70177,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70178,1,8,0,18,0,2,0,0,0,0,4,1,1,1,10,2664,2,15,5,3
201301BS70179,1,8,0,18,0,8,0,0,0,0,1,1,1,1,11,2664,2,13,7,1
201301BS70180,1,11,0,4,0,2,0,0,0,0,0,1,1,1,9,7300,2,9,4,1
201301BS70181,1,3,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70183,1,9,0,9,0,8,0,0,0,0,4,1,6,1,8,-1,-1,-1,1,1
201301BS70183,2,1,0,18,0,8,0,0,0,0,1,1,6,1,4,-1,-1,-1,2,1
201301BS70184,1,1,0,18,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,-1,-1
201301BS70185,1,19,0,4,0,2,0,0,0,0,2,1,1,1,5,2198,2,3,4,1
201301BS70185,2,1,0,18,0,2,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,1
201301BS70186,1,9,0,5,0,2,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70187,1,1,0,18,0,8,0,0,0,0,0,1,6,1,9,-1,-1,-1,8,1
201301BS70187,2,19,0,7,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70188,1,9,0,2,0,1,0,0,0,0,3,1,6,2,8,4395,1,-1,7,1
