"""date"",""geography"",""geography code"",""Rural Urban"",""Variable: All usual residents; measures: Value"",""Variable: Males; measures: Value"",""Variable: Females; measures: Value"",""Variable: Lives in a household; measures: Value"",""Variable: Lives in a communal establishment; measures: Value"",""Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value"",""Variable: Area (Hectares); measures: Value"",""Variable: Density (number of persons per hectare); measures: Value"""
"""2011"",""County Durham 028A"",""E01020682"",""Total"",1884,894,990,1884,0,23,58.97,31.9"
"""2011"",""County Durham 028B"",""E01020683"",""Total"",1653,795,858,1596,57,20,54.69,30.2"
"""2011"",""County Durham 028C"",""E01020690"",""Total"",1290,618,672,1290,0,17,370.75,3.5"
"""2011"",""County Durham 028D"",""E01020691"",""Total"",1332,641,691,1332,0,12,22.93,58.1"
"""2011"",""County Durham 028E"",""E01020692"",""Total"",1390,691,699,1390,0,17,61.94,22.4"
"""2011"",""County Durham 029A"",""E01020693"",""Total"",1332,675,657,1321,11,3,81.72,16.3"
"""2011"",""County Durham 029B"",""E01020722"",""Total"",2008,1001,1007,2008,0,14,33.34,60.2"
"""2011"",""County Durham 029C"",""E01020723"",""Total"",1731,880,851,1729,2,12,35.55,48.7"
"""2011"",""County Durham 029D"",""E01020724"",""Total"",1613,764,849,1613,0,5,172.66,9.3"
"""2011"",""County Durham 030A"",""E01020703"",""Total"",2073,1059,1014,1963,110,28,36.10,57.4"
"""2011"",""County Durham 030D"",""E01033164"",""Total"",2284,1155,1129,1004,1280,34,55.71,41.0"
"""2011"",""County Durham 030E"",""E01033195"",""Total"",1387,695,692,954,433,21,43.30,32.0"
"""2011"",""County Durham 030F"",""E01033197"",""Total"",2010,1216,794,1131,879,19,61.21,32.8"
"""2011"",""County Durham 030G"",""E01033221"",""Total"",4494,2229,2265,992,3502,65,512.14,8.8"
"""2011"",""County Durham 033A"",""E01020684"",""Total"",2317,1145,1172,2310,7,42,535.64,4.3"
"""2011"",""County Durham 033B"",""E01020702"",""Total"",2331,1138,1193,2034,297,60,290.97,8.0"
"""2011"",""County Durham 033C"",""E01020704"",""Total"",1898,977,921,1768,130,48,50.16,37.8"
"""2011"",""County Durham 033D"",""E01020712"",""Total"",1610,815,795,1610,0,39,97.15,16.6"
"""2011"",""County Durham 033E"",""E01020713"",""Total"",2028,1043,985,2028,0,75,289.65,7.0"
"""2011"",""County Durham 031A"",""E01020705"",""Total"",1450,713,737,1450,0,7,97.87,14.8"
"""2011"",""County Durham 031B"",""E01020706"",""Total"",1840,901,939,1840,0,14,943.81,1.9"
"""2011"",""County Durham 031C"",""E01020715"",""Total"",2393,1180,1213,2393,0,12,714.82,3.3"
"""2011"",""County Durham 038A"",""E01020685"",""Total"",1657,803,854,1633,24,33,1603.40,1.0"
"""2011"",""County Durham 038B"",""E01020686"",""Total"",1572,792,780,1564,8,10,45.72,34.4"
"""2011"",""County Durham 038C"",""E01020687"",""Total"",1427,688,739,1427,0,11,30.70,46.5"
"""2011"",""County Durham 038D"",""E01020688"",""Total"",1530,708,822,1529,1,15,272.76,5.6"
"""2011"",""County Durham 038E"",""E01020689"",""Total"",1477,719,758,1437,40,3,145.68,10.1"
"""2011"",""County Durham 041A"",""E01020694"",""Total"",1451,706,745,1451,0,17,34.85,41.6"
"""2011"",""County Durham 041B"",""E01020696"",""Total"",1276,622,654,1276,0,18,1455.06,0.9"
"""2011"",""County Durham 041C"",""E01020697"",""Total"",1576,777,799,1509,67,10,112.82,14.0"
