"Accident_Index,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,1st_Road_Class,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Class,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Hour,Two_Hour_Groupings,Time_of_Day,Was_Daylight,Was_Bad_Weather,Was_Road_Dry,log_Number_of_Casualties,log_Number_of_Vehicles,LSOA,population_per_hectare,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf,Road,RCat"
"201301BS70086,-0.166424,51.488352,Slight,2,1,2013-03-05,Tuesday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Darkness - lights lit,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,No,No,Yes,0.0,0.6931471805599453,E01002899,181.9,658.2,698.0,8646.0,18.6,1717.8,63.2,A3031,PA"
"201301BS70087,-0.194909,51.507499,Slight,2,1,2013-03-04,Monday,A,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,8,8am-10am,Morning,Yes,No,Yes,0.0,0.6931471805599453,E01002827,72.6,2223.8,1320.8,17460.6,2738.2,3876.0,811.8,A402,PA"
"201301BS70088,-0.157635,51.491991,Slight,1,2,2013-03-07,Thursday,A,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Raining no high winds,Wet or damp,Urban,8,8am-10am,Morning,Yes,Yes,No,0.6931471805599453,0.0,E01002902,123.3,848.8,893.2,8722.8,1646.4,2184.4,558.2,A3216,PA"
"201301BS70089,-0.19505,51.514875,Slight,2,1,2013-03-06,Wednesday,A,Single carriageway,30.0,More than 4 arms (not roundabout),A,Daylight,Fine no high winds,Dry,Urban,12,12pm-2pm,Office hours,Yes,No,Yes,0.0,0.6931471805599453,E01002886,125.9,425.0,317.8,4367.2,1326.6,955.0,243.0,A4206,PA"
"201301BS70090,-0.196534,51.502848,Slight,1,1,2013-03-04,Monday,C,Single carriageway,30.0,More than 4 arms (not roundabout),C,Daylight,Fine no high winds,Dry,Urban,8,8am-10am,Morning,Yes,No,Yes,0.0,0.0,E01002825,101.3,354.0,35.6,380.0,1.0,109.8,12.0,U,MCU"
"201301BS70092,-0.214548,51.524885,Serious,1,2,2013-02-18,Monday,B,Single carriageway,30.0,Not at junction or within 20 meters,Not at junction or within 20 meters,Daylight,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,Yes,No,Yes,0.6931471805599453,0.0,E01002852,37.2,856.8,994.2,13424.2,1117.0,2609.6,801.0,A404,PA"
"201301BS70093,-0.1504,51.485672,Slight,2,1,2013-02-27,Wednesday,A,Single carriageway,30.0,Crossroads,A,Daylight,Fine no high winds,Dry,Urban,18,6pm-8pm,Rush hour,Yes,No,Yes,0.0,0.6931471805599453,E01002901,38.7,3111.6,2007.2,16917.4,1377.0,5706.8,1686.4,A3216,PA"
"201301BS70094,-0.201974,51.514711,Slight,2,1,2013-03-05,Tuesday,Unclassified,Single carriageway,30.0,Crossroads,Unclassified,Daylight,Fine no high winds,Dry,Urban,8,8am-10am,Morning,Yes,No,Yes,0.0,0.6931471805599453,E01002832,225.0,186.4,186.2,3300.4,31.2,605.0,88.4,U,MCU"
"201301BS70095,-0.187447,51.492186,Slight,2,1,2013-02-22,Friday,C,Single carriageway,30.0,Roundabout,Unclassified,Daylight,Fine no high winds,Wet or damp,Urban,9,8am-10am,Morning,Yes,No,No,0.0,0.6931471805599453,E01002834,229.9,1077.4,840.4,11034.8,475.0,2311.2,330.8,A3218,PA"
"201301BS70096,-0.215539,51.521663,Slight,2,1,2013-03-12,Tuesday,Unclassified,Single carriageway,30.0,T or staggered junction,Unclassified,Daylight,Fine no high winds,Dry,Urban,10,10am-12pm,Office hours,Yes,No,Yes,0.0,0.6931471805599453,E01002905,93.1,856.8,994.2,13424.2,1117.0,2609.6,801.0,A404,PA"
